SRX1674506	TFs and others	MBD3	Uterus	HeLa	35004	155/209	384/419	-7.96314	-3.77272	0.809223
SRX2198835	TFs and others	LARP7	Uterus	HeLa	31176	130/209	345/419	-7.1427	-3.27829	0.755426
SRX5757570	TFs and others	SMAD3	Breast	WHIM12	15711	133/209	348/419	-6.83884	-3.27829	0.766196
SRX7692440	TFs and others	POLR2C	Digestive tract	HCT 116	15049	127/209	338/419	-6.82087	-3.27829	0.753277
SRX5576990	TFs and others	CRTC2	Lung	A549	19080	143/209	363/419	-6.73648	-3.27829	0.789764
SRX2897208	TFs and others	ESR1	Breast	Breast cancer cells	26916	143/209	362/419	-6.67188	-3.27829	0.791945
SRX5757568	TFs and others	SMAD3	Breast	WHIM12	13355	124/209	332/419	-6.61346	-3.27829	0.748775
SRX4708034	TFs and others	RBFOX2	Liver	Hep G2	18845	126/209	335/419	-6.52318	-3.27829	0.754038
SRX7692441	TFs and others	POLR2C	Digestive tract	HCT 116	15724	130/209	341/419	-6.51446	-3.27829	0.764287
SRX100493	TFs and others	HEY1	Liver	Hep G2	26419	124/209	331/419	-6.38969	-3.19927	0.751037
SRX7677721	TFs and others	NELFE	Digestive tract	DLD-1	11272	103/209	294/419	-6.31309	-3.16407	0.702357
SRX100412	TFs and others	TAF1	Liver	Hep G2	17790	121/209	324/419	-6.15616	-3.04493	0.7487
SRX6961666	TFs and others	SUPT5H	Digestive tract	HCT 116	18211	131/209	340/419	-6.06987	-2.9934	0.772432
SRX4377543	TFs and others	BRD2	Breast	SUM 159PT	19056	126/209	332/419	-6.0178	-2.97351	0.760852
SRX5824579	TFs and others	BRD2	Breast	SUM 159PT	15456	110/209	304/419	-5.91509	-2.91608	0.725416
SRX7551117	TFs and others	SETD1A	Uterus	HeLa	14498	125/209	329/419	-5.90238	-2.91608	0.761696
SRX7677719	TFs and others	NELFCD	Digestive tract	DLD-1	14904	126/209	330/419	-5.7542	-2.82983	0.765463
SRX6384756	TFs and others	MED26	Digestive tract	HCT 116	17745	133/209	342/419	-5.75296	-2.82983	0.779638
SRX5576993	TFs and others	CRTC2	Lung	A549	17175	140/209	352/419	-5.71922	-2.82983	0.797358
SRX6066492	TFs and others	POLR2C	Digestive tract	HCT 116	18389	140/209	352/419	-5.71922	-2.82983	0.797358
SRX7677724	TFs and others	SUPT5H	Digestive tract	DLD-1	15043	121/209	321/419	-5.6964	-2.8282	0.755698
SRX3852890	TFs and others	NELFA	Blood	K-562	13716	103/209	289/419	-5.66609	-2.8181	0.714508
SRX6102130	TFs and others	SUPT5H	Uterus	HeLa	21479	139/209	350/419	-5.63907	-2.81038	0.796186
SRX7677723	TFs and others	SUPT5H	Digestive tract	DLD-1	17114	134/209	342/419	-5.55478	-2.74458	0.7855
SRX5824578	TFs and others	BRD2	Breast	SUM 159PT	14897	117/209	313/419	-5.52093	-2.73998	0.749392
SRX6102128	TFs and others	SUPT5H	Uterus	HeLa	17900	130/209	335/419	-5.51542	-2.73998	0.777976
SRX5824566	TFs and others	BRD2	Breast	SUM 149PT	14559	102/209	286/419	-5.45764	-2.69859	0.714993
SRX6384755	TFs and others	MED26	Digestive tract	HCT 116	19104	132/209	338/419	-5.42242	-2.68675	0.782934
SRX6066490	TFs and others	POLR2C	Digestive tract	HCT 116	18388	139/209	349/419	-5.41477	-2.68675	0.798467
SRX5757564	TFs and others	SMAD3	Breast	SUM 159PT	15952	123/209	323/419	-5.38292	-2.67303	0.763432
SRX3852898	TFs and others	NELFA	Blood	K-562	12018	98/209	278/419	-5.37208	-2.67303	0.706723
SRX7692436	TFs and others	POLR2C	Digestive tract	HCT 116	17944	141/209	352/419	-5.3341	-2.64883	0.803053
SRX10881821	TFs and others	SS18L1	Kidney	G-401	20099	131/209	335/419	-5.31059	-2.64851	0.783961
SRX6066493	TFs and others	POLR2C	Digestive tract	HCT 116	18544	144/209	356/419	-5.29872	-2.64851	0.810924
SRX7719078	TFs and others	SMAD3	Others	H69	12184	104/209	288/419	-5.29486	-2.64851	0.72395
SRX2194261	TFs and others	BRD4	Breast	SUM 159PT	32249	110/209	299/419	-5.27503	-2.64092	0.737546
SRX6961668	TFs and others	SUPT5H	Digestive tract	HCT 116	16208	133/209	338/419	-5.22587	-2.60507	0.788865
SRX7692437	TFs and others	POLR2C	Digestive tract	HCT 116	18669	143/209	354/419	-5.2157	-2.60507	0.809842
SRX8380464	TFs and others	BRD4	Uterus	HeLa	35757	151/209	366/419	-5.15764	-2.56759	0.827111
