SRX1674506	TFs and others	MBD3	Uterus	HeLa	35004	522/569	160/212	-7.99671	-3.87908	1.21555
SRX5757568	TFs and others	SMAD3	Breast	WHIM12	13355	468/569	135/212	-6.9946	-3.32155	1.29162
SRX7677724	TFs and others	SUPT5H	Digestive tract	DLD-1	15043	460/569	131/212	-6.96206	-3.32155	1.30831
SRX7677721	TFs and others	NELFE	Digestive tract	DLD-1	11272	408/569	109/212	-6.75071	-3.23514	1.39462
SRX5757566	TFs and others	SMAD3	Breast	SUM 159PT	11483	414/569	112/212	-6.64698	-3.22831	1.37723
SRX6102133	TFs and others	NELFE	Uterus	HeLa	14465	388/569	102/212	-6.45688	-3.16191	1.41728
SRX7677729	TFs and others	SUPT5H	Digestive tract	DLD-1	9732	358/569	90/212	-6.4039	-3.16191	1.48205
SRX10333912	TFs and others	NELFA	Digestive tract	DLD-1	10941	397/569	106/212	-6.37646	-3.16191	1.39543
SRX7677719	TFs and others	NELFCD	Digestive tract	DLD-1	14904	471/569	139/212	-6.25086	-3.08747	1.2625
SRX5757570	TFs and others	SMAD3	Breast	WHIM12	15711	485/569	146/212	-6.15275	-3.03511	1.23769
SRX6961666	TFs and others	SUPT5H	Digestive tract	HCT 116	18211	470/569	139/212	-6.03313	-2.99179	1.25981
SRX6102132	TFs and others	NELFE	Uterus	HeLa	13531	380/569	100/212	-6.03024	-2.99179	1.41582
SRX7719077	TFs and others	SMAD3	Others	H69	10619	384/569	103/212	-5.7078	-2.70411	1.38905
SRX6961665	TFs and others	SUPT5H	Digestive tract	HCT 116	13616	437/569	126/212	-5.56437	-2.5988	1.29221
SRX10760645	TFs and others	BRD2	Blood	MM.1S	16817	460/569	136/212	-5.54034	-2.5988	1.26021
SRX6102128	TFs and others	SUPT5H	Uterus	HeLa	17900	465/569	139/212	-5.47093	-2.55741	1.24641
SRX7677723	TFs and others	SUPT5H	Digestive tract	DLD-1	17114	476/569	144/212	-5.42224	-2.541	1.2316
SRX2529782	TFs and others	Epitope tags	Blood	RAJI	17249	370/569	99/212	-5.39222	-2.541	1.39248
SRX2251223	TFs and others	BRD4	Prostate	C4-2	29879	445/569	130/212	-5.37307	-2.541	1.27538
SRX5757564	TFs and others	SMAD3	Breast	SUM 159PT	15952	460/569	137/212	-5.34827	-2.541	1.25101
SRX2251225	TFs and others	BRD4	Prostate	C4-2	24585	412/569	116/212	-5.33642	-2.541	1.32331
SRX7030930	TFs and others	NELFA	Breast	MCF-7	14210	377/569	102/212	-5.29352	-2.51831	1.3771
SRX6066513	TFs and others	NELFE	Digestive tract	HCT 116	7594	280/569	66/212	-5.26093	-2.51426	1.58066
SRX6102129	TFs and others	SUPT5H	Uterus	HeLa	12023	369/569	99/212	-5.23672	-2.51426	1.38872
SRX7719078	TFs and others	SMAD3	Others	H69	12184	404/569	113/212	-5.23396	-2.51426	1.33207
SRX5527615	TFs and others	EP300	Cardiovascular	HUVEC	27870	447/569	132/212	-5.20417	-2.50561	1.2617
SRX7748766	TFs and others	BRD2	Digestive tract	DLD-1	25358	469/569	142/212	-5.19188	-2.50561	1.23058
SRX4377549	TFs and others	BRD2	Breast	HCC1806	10868	352/569	93/212	-5.12716	-2.4632	1.41021
SRX100476	TFs and others	TAF1	Blood	K-562	12659	375/569	102/212	-5.10871	-2.4632	1.36979
SRX6961668	TFs and others	SUPT5H	Digestive tract	HCT 116	16208	466/569	141/212	-5.10371	-2.4632	1.23138
SRX6102135	TFs and others	NELFE	Uterus	HeLa	13632	370/569	100/212	-5.07934	-2.45307	1.37856
SRX3852892	TFs and others	NELFE	Blood	K-562	11730	417/569	119/212	-5.06214	-2.44965	1.30561
SRX9730737	TFs and others	CPSF3L	Blood	THP-1	16114	426/569	123/212	-5.02451	-2.42539	1.29041
SRX7692440	TFs and others	POLR2C	Digestive tract	HCT 116	15049	461/569	139/212	-4.99313	-2.41844	1.23569
SRX10333914	TFs and others	NELFA	Digestive tract	DLD-1	12641	444/569	131/212	-4.99201	-2.41844	1.2628
SRX7692446	TFs and others	POLR2C	Breast	MCF-7	10835	353/569	94/212	-4.9718	-2.41047	1.39917
SRX2198835	TFs and others	LARP7	Uterus	HeLa	31176	464/569	141/212	-4.86981	-2.34811	1.22609
SRX10131665	TFs and others	NELFCD	Lung	Bronchial tracheal epithelial cells	10829	428/569	125/212	-4.86792	-2.34811	1.27573
SRX186782	TFs and others	KDM5B	Blood	K-562	14561	385/569	107/212	-4.86405	-2.34811	1.3406
SRX3852898	TFs and others	NELFA	Blood	K-562	12018	402/569	114/212	-4.86369	-2.34811	1.31385
SRX6961669	TFs and others	SUPT5H	Digestive tract	HCT 116	13124	400/569	113/212	-4.85122	-2.34637	1.31888
