SRX9523535	TFs and others	NABP2	Bone	HT-1080	12504	84/136	126/147	-5.25916	-1.17824	0.720588
SRX1514277	TFs and others	ERG	Blood	Kasumi-1	24468	73/136	109/147	-3.31987	0	0.723894
SRX204914	TFs and others	BRD4	Neural	U-87 MG	30566	55/136	90/147	-3.25565	0	0.660539
SRX3434293	TFs and others	SKI	Blood	HL-60	38480	77/136	112/147	-3.20766	0	0.743107
SRX080389	TFs and others	CTCF	Digestive tract	HEEpiC	25224	31/136	12/147	-3.10308	0	2.79228
SRX190250	TFs and others	YY1	Lung	A549	9752	46/136	79/147	-3.08928	0	0.629375
SRX10119140	TFs and others	CREBBP	Blood	MV-4-11	1568	1/136	14/147	-3.08317	0	0.0772059
SRX10119142	TFs and others	CREBBP	Blood	MV-4-11	1569	1/136	14/147	-3.08317	0	0.0772059
SRX3962742	TFs and others	LMNA	Epidermis	BJ-5ta	23230	38/136	70/147	-3.04239	0	0.586765
SRX265222	TFs and others	RUNX1	Blood	ME-1	14180	68/136	102/147	-2.98561	0	0.720588
SRX265228	TFs and others	FLI1	Blood	ME-1	1439	5/136	22/147	-2.95497	0	0.245655
SRX2194257	TFs and others	BRD4	Breast	HCC1806	6822	13/136	35/147	-2.83254	0	0.401471
SRX204906	TFs and others	MED1	Blood	MM.1S	18533	69/136	102/147	-2.80579	0	0.731185
SRX2194271	TFs and others	BRD4	Breast	SUM 159PT	37180	77/136	110/147	-2.78904	0	0.756618
SRX5824585	TFs and others	BRD2	Breast	SUM 159PT	3313	14/136	36/147	-2.74535	0	0.420343
DRX059614	TFs and others	KMT2B	Blood	HB1119	3873	17/136	41/147	-2.74144	0	0.448171
SRX2778382	TFs and others	YY1	Blood	Lymphoblastoid cell line	2420	10/136	30/147	-2.72106	0	0.360294
SRX7627562	TFs and others	REST	Neural	Hippocampus	3162	10/136	30/147	-2.72106	0	0.360294
SRX100479	TFs and others	EGR1	Blood	GM12878	12730	53/136	85/147	-2.71241	0	0.673962
SRX2897216	TFs and others	ESR1	Breast	Breast cancer cells	2377	13/136	34/147	-2.63485	0	0.413279
SRX369138	TFs and others	EP300	Blood	CUTLL1	7940	9/136	28/147	-2.62179	0	0.347426
SRX2236973	TFs and others	CTCF	Bone	U2OS	12110	17/136	4/147	-2.61877	0	4.59375
SRX9221935	TFs and others	ESR1	Liver	Liver	1053	13/136	2/147	-2.60533	0	7.02574
SRX1690226	TFs and others	MYCN	Neural	Neuroblastoma	11830	66/136	98/147	-2.59366	0	0.727941
SRX5401866	TFs and others	PGR	Breast	T-47D	33551	17/136	40/147	-2.55244	0	0.459375
SRX9317685	TFs and others	EP300	Blood	Fujioka	12598	52/136	83/147	-2.54501	0	0.677179
