SRX1898037	TFs and others	RAG1	Blood	REH	30711	282/1005	1/54	-6.04207	-1.88587	15.1522
SRX1674506	TFs and others	MBD3	Uterus	HeLa	35004	448/1005	7/54	-5.77699	-1.88587	3.43881
SRX5527615	TFs and others	EP300	Cardiovascular	HUVEC	27870	383/1005	5/54	-5.38351	-1.80288	4.11582
SRX312240	TFs and others	TFAM	Uterus	HeLa	480	0/1005	4/54	-5.21688	-1.80288	0
SRX312241	TFs and others	TFAM	Uterus	HeLa	435	0/1005	4/54	-5.21688	-1.80288	0
SRX359959	TFs and others	STAT5A	Digestive tract	LoVo	326	0/1005	4/54	-5.21688	-1.80288	0
SRX4172743	TFs and others	GATA1	Digestive tract	HCT 116	11164	326/1005	4/54	-4.52079	-1.61711	4.3791
SRX5738754	TFs and others	Crotonyllysine	Pluripotent stem cell	hESC derived Endodermal cells	24362	379/1005	6/54	-4.50167	-1.61711	3.39403
SRX8570843	TFs and others	HAP1	Blood	KBM-7	23581	268/1005	2/54	-4.46146	-1.61711	7.2
SRX8570844	TFs and others	HAP1	Blood	KBM-7	30809	401/1005	7/54	-4.4089	-1.61711	3.07804
SRX9178836	TFs and others	HAP1	Blood	HAP1	8680	253/1005	2/54	-4.22106	-1.61711	6.79701
SRX150569	TFs and others	BRF2	Blood	K-562	218	2/1005	4/54	-4.07434	-1.61711	0.0268657
SRX5527609	TFs and others	EP300	Cardiovascular	HAEC	19398	311/1005	4/54	-4.04839	-1.61711	4.17761
SRX266856	TFs and others	FOXA2	Pluripotent stem cell	hESC derived mesendodermal cells	18201	244/1005	2/54	-3.99076	-1.61711	6.55522
DRX002915	TFs and others	SMCHD1	Neural	hTERT RPE-1	412	0/1005	3/54	-3.90078	-1.61711	0
SRX014750	TFs and others	PML	Blood	NB-4	265	0/1005	3/54	-3.90078	-1.61711	0
SRX023661	TFs and others	LRWD1	Uterus	HeLa	206	0/1005	3/54	-3.90078	-1.61711	0
SRX027916	TFs and others	NR3C1	Uterus	HeLa	266	0/1005	3/54	-3.90078	-1.61711	0
SRX084501	TFs and others	SMAD2	Pluripotent stem cell	hESC H9	338	0/1005	3/54	-3.90078	-1.61711	0
SRX093540	TFs and others	SUPT20H	Uterus	HeLa	302	0/1005	3/54	-3.90078	-1.61711	0
SRX097090	TFs and others	SMAD1	Blood	K-562	358	0/1005	3/54	-3.90078	-1.61711	0
SRX097110	TFs and others	CEBPA	Blood	U-937	359	0/1005	3/54	-3.90078	-1.61711	0
SRX099404	TFs and others	RB1	Lung	IMR-90	898	0/1005	3/54	-3.90078	-1.61711	0
SRX116419	TFs and others	SETDB1	Blood	K-562	469	0/1005	3/54	-3.90078	-1.61711	0
SRX116421	TFs and others	HDAC1	Blood	K-562	337	0/1005	3/54	-3.90078	-1.61711	0
SRX116427	TFs and others	CBX3	Blood	K-562	814	0/1005	3/54	-3.90078	-1.61711	0
SRX116432	TFs and others	NCOR1	Blood	K-562	400	0/1005	3/54	-3.90078	-1.61711	0
SRX116435	TFs and others	KAT2B	Blood	K-562	373	0/1005	3/54	-3.90078	-1.61711	0
SRX116469	TFs and others	SIRT6	Pluripotent stem cell	hESC H1	423	0/1005	3/54	-3.90078	-1.61711	0
SRX130061	TFs and others	SOX2	Epidermis	BJ	1568	0/1005	3/54	-3.90078	-1.61711	0
SRX150430	TFs and others	ZNF274	Liver	Hep G2	403	0/1005	3/54	-3.90078	-1.61711	0
SRX150538	TFs and others	ZNF274	Uterus	HeLa	434	0/1005	3/54	-3.90078	-1.61711	0
SRX150693	TFs and others	JUN	Pluripotent stem cell	hESC H1	740	0/1005	3/54	-3.90078	-1.61711	0
SRX157785	TFs and others	FOXK1	Uterus	HeLa	767	0/1005	3/54	-3.90078	-1.61711	0
SRX157786	TFs and others	FOXK1	Uterus	HeLa	886	0/1005	3/54	-3.90078	-1.61711	0
SRX1757994	TFs and others	FOXR2	Breast	MDA-MB-468	298	0/1005	3/54	-3.90078	-1.61711	0
SRX1757995	TFs and others	FOXR2	Breast	MDA-MB-468	202	0/1005	3/54	-3.90078	-1.61711	0
SRX1757998	TFs and others	MYC	Breast	MDA-MB-468	237	0/1005	3/54	-3.90078	-1.61711	0
SRX1757999	TFs and others	MYC	Breast	MDA-MB-468	206	0/1005	3/54	-3.90078	-1.61711	0
SRX180823	TFs and others	E2F7	Lung	IMR-90	325	0/1005	3/54	-3.90078	-1.61711	0
SRX1818074	TFs and others	AR	Prostate	LNCAP	318	0/1005	3/54	-3.90078	-1.61711	0
SRX186624	TFs and others	ZNF274	Pluripotent stem cell	hESC H1	1224	0/1005	3/54	-3.90078	-1.61711	0
SRX186647	TFs and others	SIRT6	Pluripotent stem cell	hESC H1	436	0/1005	3/54	-3.90078	-1.61711	0
SRX186648	TFs and others	SETDB1	Blood	K-562	471	0/1005	3/54	-3.90078	-1.61711	0
SRX186762	TFs and others	KAT2B	Blood	K-562	366	0/1005	3/54	-3.90078	-1.61711	0
SRX186764	TFs and others	CBX3	Blood	K-562	815	0/1005	3/54	-3.90078	-1.61711	0
SRX196109	TFs and others	NR1H2	Adipocyte	SGBS	406	0/1005	3/54	-3.90078	-1.61711	0
SRX218217	TFs and others	HSF1	Blood	K-562	243	0/1005	3/54	-3.90078	-1.61711	0
SRX218218	TFs and others	HSF2	Blood	K-562	399	0/1005	3/54	-3.90078	-1.61711	0
SRX218220	TFs and others	HSF1	Blood	K-562	293	0/1005	3/54	-3.90078	-1.61711	0
SRX218221	TFs and others	HSF2	Blood	K-562	312	0/1005	3/54	-3.90078	-1.61711	0
SRX218225	TFs and others	HSF2	Blood	K-562	256	0/1005	3/54	-3.90078	-1.61711	0
