SRX1898037	TFs and others	RAG1	Blood	REH	30711	148/1680	18/57	-5.68829	-1.44667	0.278968
SRX359972	TFs and others	STAT2	Digestive tract	LoVo	1226	100/1680	14/57	-5.05858	-1.13525	0.242347
SRX5075174	TFs and others	SMARCA4	Neural	Neural progenitor cells	34486	1043/1680	19/57	-4.66565	-1.13525	1.8625
SRX023659	TFs and others	PHF8	Uterus	HeLa	2666	110/1680	14/57	-4.62408	-1.13525	0.266582
SRX5385025	TFs and others	BRD3	Pluripotent stem cell	hESC H1	898	22/1680	7/57	-4.60028	-1.13525	0.106633
SRX360576	TFs and others	MYC	Digestive tract	GP5d	3071	181/1680	18/57	-4.53767	-1.13525	0.341171
SRX116417	TFs and others	CHD1	Blood	K-562	2023	8/1680	5/57	-4.47378	-1.13525	0.0542857
SRX186771	TFs and others	CHD1	Blood	K-562	2234	8/1680	5/57	-4.47378	-1.13525	0.0542857
SRX4937334	TFs and others	KAT2A	Digestive tract	HCT 116	461	26/1680	7/57	-4.20756	-0.978542	0.12602
SRX1131805	TFs and others	Epitope tags	Uterus	HeLa	258	4/1680	4/57	-4.17877	-0.978542	0.0339286
SRX359955	TFs and others	SOX2	Digestive tract	LoVo	196	4/1680	4/57	-4.17877	-0.978542	0.0339286
SRX359976	TFs and others	ZBTB10	Digestive tract	LoVo	241	18/1680	6/57	-4.08877	-0.971362	0.101786
SRX7972428	TFs and others	MKL2	Epidermis	MKL-2	31883	427/1680	29/57	-4.08253	-0.971362	0.499569
SRX8570842	TFs and others	HAP1	Blood	KBM-7	26302	218/1680	19/57	-4.03659	-0.971362	0.389286
SRX1690255	TFs and others	MYCN	Neural	Neuroblastoma	914	19/1680	6/57	-3.98068	-0.971362	0.10744
SRX100542	TFs and others	RAD21	Neural	SK-N-SH	67361	532/1680	5/57	-3.97956	-0.971362	3.61
SRX123444	TFs and others	SMARCB1	Pluripotent stem cell	NCCIT	599	5/1680	4/57	-3.93423	-0.971362	0.0424107
SRX2652438	TFs and others	ZBTB48	Uterus	HeLa	2075	5/1680	4/57	-3.93423	-0.971362	0.0424107
SRX9673822	TFs and others	BCOR	Kidney	293	1094	5/1680	4/57	-3.93423	-0.971362	0.0424107
SRX833422	TFs and others	NIPBL	Pluripotent stem cell	hESC H1	4807	223/1680	19/57	-3.90905	-0.96846	0.398214
SRX8041957	TFs and others	BRD4	Prostate	MR42D	922	1/1680	3/57	-3.88243	-0.963029	0.0113095
SRX3271002	TFs and others	KDM1A	Pluripotent stem cell	hESC derived pancreatic cells	21954	372/1680	26/57	-3.83306	-0.933862	0.48544
SRX023656	TFs and others	CCDC101	Uterus	HeLa	748	21/1680	6/57	-3.77978	-0.899886	0.11875
SRX3437461	TFs and others	NRF1	Uterus	HeLa	2189	250/1680	0/57	-3.74884	-0.887429	inf
SRX176048	TFs and others	AR	Prostate	C4-2	643	22/1680	6/57	-3.68613	-0.855491	0.124405
SRX218418	TFs and others	GATA1	Blood	Erythroid Cells	25823	806/1680	13/57	-3.68214	-0.855491	2.10357
SRX6840505	TFs and others	HAP1	Blood	KBM-7	9319	58/1680	9/57	-3.6465	-0.836242	0.218651
SRX2652436	TFs and others	ZBTB48	Uterus	HeLa	1683	23/1680	6/57	-3.59655	-0.82589	0.13006
SRX023653	TFs and others	PHF8	Uterus	HeLa	2966	253/1680	20/57	-3.59352	-0.82589	0.429196
SRX8570841	TFs and others	HAP1	Blood	KBM-7	30100	320/1680	23/57	-3.57815	-0.82589	0.47205
SRX6840506	TFs and others	HAP1	Blood	KBM-7	16920	89/1680	11/57	-3.57615	-0.82589	0.274513
SRX8570844	TFs and others	HAP1	Blood	KBM-7	30809	367/1680	25/57	-3.5429	-0.821321	0.498071
SRX4170711	TFs and others	WDR5	Blood	K-562	1093	7/1680	4/57	-3.53754	-0.821321	0.059375
SRX3020565	TFs and others	PHIP	Digestive tract	HCT 116	226	2/1680	3/57	-3.49474	-0.821321	0.022619
SRX359918	TFs and others	REST	Digestive tract	LoVo	162	2/1680	3/57	-3.49474	-0.821321	0.022619
SRX4714459	TFs and others	GTF3C2	Breast	MCF 10A	189	2/1680	3/57	-3.49474	-0.821321	0.022619
SRX4714471	TFs and others	GTF3C2	Lung	IMR-90	329	2/1680	3/57	-3.49474	-0.821321	0.022619
SRX2765968	TFs and others	HMGB2	Lung	Lung fibroblasts	540	15/1680	5/57	-3.46971	-0.807873	0.101786
SRX6840507	TFs and others	HAP1	Blood	KBM-7	15400	77/1680	10/57	-3.43674	-0.793009	0.26125
SRX5316107	TFs and others	O-GlcNAc	Prostate	PC-3	1436	163/1680	15/57	-3.43257	-0.793009	0.36869
SRX5527607	TFs and others	EP300	Cardiovascular	HAEC	15525	145/1680	14/57	-3.41528	-0.786443	0.351403
SRX8570843	TFs and others	HAP1	Blood	KBM-7	23581	205/1680	17/57	-3.35996	-0.741588	0.409139
SRX1674501	TFs and others	GFP	Uterus	HeLa	2788	186/1680	16/57	-3.33628	-0.728128	0.39442
SRX833421	TFs and others	NIPBL	Pluripotent stem cell	hESC H1	3714	114/1680	12/57	-3.27432	-0.691853	0.322321
SRX7572097	TFs and others	MYC	Pancreas	MIA Paca-2	947	27/1680	6/57	-3.27324	-0.691853	0.152679
SRX1674506	TFs and others	MBD3	Uterus	HeLa	35004	249/1680	19/57	-3.25626	-0.691853	0.444643
SRX5574489	TFs and others	SMARCA4	Blood	CTV-1	12252	347/1680	2/57	-3.2473	-0.691853	5.88661
SRX3436561	TFs and others	SSRP1	Bone	HT-1080	1571	9/1680	4/57	-3.22316	-0.691853	0.0763393
SRX9565529	TFs and others	Epitope tags	Kidney	293	186	9/1680	4/57	-3.22316	-0.691853	0.0763393
SRX7061818	TFs and others	BRD3	Blood	SEM	4692	53/1680	8/57	-3.20849	-0.691853	0.224777
SRX9607667	TFs and others	Biotin	Pluripotent stem cell	NTERA-2	1341	53/1680	8/57	-3.20849	-0.691853	0.224777
SRX113583	TFs and others	BMI1	Kidney	293	164	3/1680	3/57	-3.20395	-0.691853	0.0339286
SRX359913	TFs and others	NR4A1	Digestive tract	LoVo	124	3/1680	3/57	-3.20395	-0.691853	0.0339286
SRX1280449	TFs and others	NRF1	Breast	HMEC	12241	894/1680	17/57	-3.20108	-0.691853	1.78424
SRX3271003	TFs and others	KDM1A	Pluripotent stem cell	hESC derived pancreatic cells	15286	512/1680	30/57	-3.15634	-0.655082	0.579048
SRX4385552	TFs and others	SUPT5H	Digestive tract	HCT 116	615	41/1680	7/57	-3.13832	-0.644887	0.198724
SRX5025673	TFs and others	BRCA1	Neural	SH-EP	578	29/1680	6/57	-3.12941	-0.643664	0.163988
SRX5729954	TFs and others	BRD4	Prostate	22Rv1	1726	55/1680	8/57	-3.11185	-0.641081	0.233259
SRX7575887	TFs and others	MYC	Blood	RAJI	1131	55/1680	8/57	-3.11185	-0.641081	0.233259
SRX5123054	TFs and others	POU2F1	Digestive tract	HCT 116	2949	208/1680	17/57	-3.07887	-0.619239	0.415126
SRX1916933	TFs and others	DNMT3A	Epidermis	Epidermal stem cells	771	19/1680	5/57	-3.07553	-0.619239	0.128929
SRX8570845	TFs and others	HAP1	Blood	KBM-7	32790	466/1680	28/57	-3.06813	-0.6189	0.564668
SRX5527609	TFs and others	EP300	Cardiovascular	HAEC	19398	178/1680	15/57	-3.04681	-0.617974	0.402619
SRX186635	TFs and others	NRF1	Neural	SK-N-SH	7744	723/1680	12/57	-3.03747	-0.617974	2.0442
SRX359942	TFs and others	JUNB	Digestive tract	LoVo	630	72/1680	9/57	-3.0172	-0.617974	0.271429
SRX4911599	TFs and others	FOXA2	Uterus	Endometrium	1146	31/1680	6/57	-2.99555	-0.617974	0.175298
SRX1052317	TFs and others	Epitope tags	Blood	K-562	4260	216/1680	17/57	-2.99275	-0.617974	0.431092
SRX5075168	TFs and others	SMARCA4	Neural	Neural progenitor cells	28648	911/1680	18/57	-2.99032	-0.617974	1.71716
SRX5025671	TFs and others	BRCA1	Neural	SH-EP	261	0/1680	2/57	-2.97529	-0.617974	0
SRX8512872	TFs and others	TEAD4	Digestive tract	HCT 116	37	0/1680	2/57	-2.97529	-0.617974	0
SRX100496	TFs and others	FOSL2	Liver	Hep G2	25845	619/1680	9/57	-2.97287	-0.617974	2.33353
SRX1092377	TFs and others	Epitope tags	Blood	K-562	299	4/1680	3/57	-2.97114	-0.617974	0.0452381
SRX113590	TFs and others	RYBP	Kidney	293	610	4/1680	3/57	-2.97114	-0.617974	0.0452381
SRX5025681	TFs and others	DCP1A	Neural	SH-EP	155	4/1680	3/57	-2.97114	-0.617974	0.0452381
SRX8512873	TFs and others	TEAD4	Digestive tract	HCT 116	147	4/1680	3/57	-2.97114	-0.617974	0.0452381
SRX895431	TFs and others	SUMO2	Blood	K-562	1043	4/1680	3/57	-2.97114	-0.617974	0.0452381
SRX9673825	TFs and others	BCOR	Kidney	293	833	4/1680	3/57	-2.97114	-0.617974	0.0452381
SRX6913043	TFs and others	BRD3	Blood	THP-1	491	11/1680	4/57	-2.96373	-0.617974	0.0933036
SRX218420	TFs and others	NFE2	Blood	Erythroid Cells	42190	1080/1680	24/57	-2.96197	-0.617974	1.52679
SRX2765965	TFs and others	HMGB2	Cardiovascular	HUVEC	3554	220/1680	17/57	-2.93651	-0.597978	0.439076
SRX359962	TFs and others	TERF1	Digestive tract	LoVo	703	59/1680	8/57	-2.93016	-0.597026	0.250223
SRX5574501	TFs and others	SMARCA4	Blood	CTV-1	15599	265/1680	1/57	-2.91843	-0.590622	8.99107
SRX096358	TFs and others	Epitope tags	Bone	EWS502	16890	610/1680	33/57	-2.91189	-0.589346	0.627165
SRX1165091	TFs and others	Epitope tags	Liver	Hep G2	40717	275/1680	1/57	-2.90022	-0.582877	9.33036
SRX4415495	TFs and others	RBBP7	Kidney	hTERT-HME1	9395	636/1680	34/57	-2.89063	-0.578428	0.634664
SRX542554	TFs and others	MYC	Blood	P493-6	3240	165/1680	14/57	-2.88376	-0.578279	0.399872
SRX4708086	TFs and others	AGO1	Blood	K-562	3215	92/1680	10/57	-2.87748	-0.578279	0.312143
SRX1334495	TFs and others	MYC	Prostate	LNCAP	1103	46/1680	7/57	-2.87317	-0.578279	0.222959
SRX176053	TFs and others	AR	Prostate	C4-2	2748	33/1680	6/57	-2.87051	-0.578279	0.186607
SRX1272794	TFs and others	BRD4	Digestive tract	HCT-15	2637	76/1680	9/57	-2.86372	-0.576342	0.286508
SRX3040149	TFs and others	SMC1A	Breast	HMEC	34725	316/1680	2/57	-2.85197	-0.569392	5.36071
SRX150650	TFs and others	RAD21	Uterus	HeLa	47691	321/1680	2/57	-2.84532	-0.567487	5.44554
SRX9178850	TFs and others	HAP1	Blood	HAP1	11020	270/1680	19/57	-2.78473	-0.560924	0.482143
SRX2251223	TFs and others	BRD4	Prostate	C4-2	29879	313/1680	21/57	-2.7812	-0.560924	0.505697
SRX100540	TFs and others	EP300	Neural	SK-N-SH	49529	603/1680	9/57	-2.77886	-0.560924	2.27321
SRX11196942	TFs and others	TBP	Kidney	293	334	5/1680	3/57	-2.77724	-0.560924	0.0565476
SRX1272782	TFs and others	BRD4	Digestive tract	HCT 116	616	5/1680	3/57	-2.77724	-0.560924	0.0565476
SRX2533318	TFs and others	BRF1	Pluripotent stem cell	hESC H9	722	5/1680	3/57	-2.77724	-0.560924	0.0565476
SRX3436562	TFs and others	SSRP1	Bone	HT-1080	891	5/1680	3/57	-2.77724	-0.560924	0.0565476
SRX3474297	TFs and others	Epitope tags	Prostate	LNCAP	542	5/1680	3/57	-2.77724	-0.560924	0.0565476
SRX4518424	TFs and others	BRD4	Prostate	LNCAP	938	5/1680	3/57	-2.77724	-0.560924	0.0565476
SRX4714473	TFs and others	GTF3C2	Lung	IMR-90	1566	5/1680	3/57	-2.77724	-0.560924	0.0565476
SRX4928878	TFs and others	BRD9	Uterus	HeLa	245	5/1680	3/57	-2.77724	-0.560924	0.0565476
SRX6473444	TFs and others	Epitope tags	Pluripotent stem cell	hESC derived neural crests	838	5/1680	3/57	-2.77724	-0.560924	0.0565476
SRX702075	TFs and others	SMAD1	Pluripotent stem cell	hESC derived mesendodermal cells	158	5/1680	3/57	-2.77724	-0.560924	0.0565476
SRX9673824	TFs and others	BCOR	Kidney	293	1387	5/1680	3/57	-2.77724	-0.560924	0.0565476
SRX1478537	TFs and others	EP300	Kidney	Kidney Cortex	15725	585/1680	32/57	-2.77068	-0.559193	0.620257
SRX150352	TFs and others	MAZ	Uterus	HeLa	10531	835/1680	16/57	-2.76739	-0.559193	1.77065
SRX359924	TFs and others	BARX1	Digestive tract	LoVo	844	63/1680	8/57	-2.76235	-0.558156	0.267188
SRX113579	TFs and others	RNF2	Kidney	293	647	35/1680	6/57	-2.75336	-0.557063	0.197917
SRX6367585	TFs and others	SUMO2	Kidney	293	1592	35/1680	6/57	-2.75336	-0.557063	0.197917
SRX3800332	TFs and others	STAG2	Others	RT-112	26517	886/1680	18/57	-2.74548	-0.553078	1.67004
SRX3142682	TFs and others	ILF3	Blood	K-562	4658	208/1680	16/57	-2.74052	-0.551978	0.441071
SRX9178813	TFs and others	HAP1	Blood	HAP1	6985	114/1680	11/57	-2.73645	-0.551733	0.351623
SRX7972427	TFs and others	MKL1	Epidermis	MKL-1	27136	320/1680	21/57	-2.71202	-0.531096	0.517007
SRX253212	TFs and others	ZFX	Neural	Daoy	1274	24/1680	5/57	-2.68398	-0.506816	0.162857
SRX2355085	TFs and others	RELA	Cardiovascular	HAEC	26127	1028/1680	23/57	-2.65903	-0.492903	1.51646
SRX150703	TFs and others	RAD21	Lung	IMR-90	35345	303/1680	2/57	-2.65811	-0.492903	5.14018
SRX1165090	TFs and others	Epitope tags	Liver	Hep G2	43290	301/1680	2/57	-2.65701	-0.492903	5.10625
SRX5246885	TFs and others	SMARCA4	Pluripotent stem cell	iPS derived neural cells	30056	557/1680	8/57	-2.6549	-0.492903	2.36228
SRX4170707	TFs and others	WDR5	Blood	K-562	1303	14/1680	4/57	-2.64517	-0.492903	0.11875
SRX895432	TFs and others	SUMO2	Blood	K-562	3107	14/1680	4/57	-2.64517	-0.492903	0.11875
SRX9178855	TFs and others	HAP1	Blood	HAP1	6448	66/1680	8/57	-2.64462	-0.492903	0.279911
SRX359882	TFs and others	CREB1	Digestive tract	LoVo	2788	342/1680	22/57	-2.62562	-0.48692	0.527435
SRX1885190	TFs and others	PIAS1	Prostate	LNCAP	5035	6/1680	3/57	-2.61135	-0.48692	0.0678571
SRX2652446	TFs and others	ZBTB48	Bone	U2OS	4617	6/1680	3/57	-2.61135	-0.48692	0.0678571
SRX3236727	TFs and others	BRD2	Lung	NCI-H1299	485	6/1680	3/57	-2.61135	-0.48692	0.0678571
SRX4714467	TFs and others	GTF3C2	Neural	T98G	2815	6/1680	3/57	-2.61135	-0.48692	0.0678571
SRX5577133	TFs and others	Epitope tags	Prostate	LNCAP	369	6/1680	3/57	-2.61135	-0.48692	0.0678571
SRX9237246	TFs and others	CPSF3	Blood	K-562	2351	6/1680	3/57	-2.61135	-0.48692	0.0678571
SRX266856	TFs and others	FOXA2	Pluripotent stem cell	hESC derived mesendodermal cells	18201	191/1680	15/57	-2.61127	-0.48692	0.432024
SRX3927284	TFs and others	SMARCA4	Blood	EOL-1	58374	717/1680	13/57	-2.59658	-0.477241	1.87129
SRX2731789	TFs and others	MYCN	Neural	Neuroblastoma	1104	52/1680	7/57	-2.59501	-0.477241	0.252041
SRX6913068	TFs and others	BRD4	Blood	THP-1	738	38/1680	6/57	-2.59067	-0.476154	0.214881
SRX5771664	TFs and others	SOX2	Gonad	N2102Ep	7783	15/1680	4/57	-2.55317	-0.464169	0.127232
SRX471867	TFs and others	BRD2	Prostate	VCaP	2780	53/1680	7/57	-2.55227	-0.464169	0.256888
SRX10657963	TFs and others	Epitope tags	Blood	NALM-6	3498	85/1680	9/57	-2.55213	-0.464169	0.320437
SRX5089560	TFs and others	BRD4	Breast	MCF-7	5713	85/1680	9/57	-2.55213	-0.464169	0.320437
SRX1280448	TFs and others	NRF1	Breast	HMEC	10790	842/1680	17/57	-2.54885	-0.464169	1.68046
SRX3881553	TFs and others	MYC	Prostate	LNCAP	2341	196/1680	15/57	-2.54773	-0.464169	0.443333
SRX1873456	TFs and others	LEO1	Blood	SEM	11205	121/1680	11/57	-2.54339	-0.464169	0.373214
SRX265428	TFs and others	CTCF	Breast	SUM 159PT	45776	1185/1680	29/57	-2.53667	-0.464169	1.38639
SRX359946	TFs and others	NFYC	Digestive tract	LoVo	2134	307/1680	20/57	-2.531	-0.464169	0.520804
SRX717858	TFs and others	EP300	Uterus	HeLa	7080	86/1680	9/57	-2.52009	-0.464169	0.324206
SRX8358262	TFs and others	AHR	Cardiovascular	HCASMC	2420	54/1680	7/57	-2.51048	-0.464169	0.261735
SRX1012696	TFs and others	PGR	Breast	MCF-7	474	1/1680	2/57	-2.50744	-0.464169	0.0169643
SRX10567329	TFs and others	HMGB1	Lung	IMR-90	254	1/1680	2/57	-2.50744	-0.464169	0.0169643
SRX1550247	TFs and others	Epitope tags	Bone	U2OS	496	1/1680	2/57	-2.50744	-0.464169	0.0169643
SRX2589935	TFs and others	MPHOSPH8	Blood	K-562	256	1/1680	2/57	-2.50744	-0.464169	0.0169643
SRX2589939	TFs and others	MPHOSPH8	Blood	K-562	202	1/1680	2/57	-2.50744	-0.464169	0.0169643
SRX2589940	TFs and others	MPHOSPH8	Blood	K-562	236	1/1680	2/57	-2.50744	-0.464169	0.0169643
SRX2589941	TFs and others	MPHOSPH8	Blood	K-562	398	1/1680	2/57	-2.50744	-0.464169	0.0169643
SRX3798679	TFs and others	BRCA1	Neural	SH-EP	60	1/1680	2/57	-2.50744	-0.464169	0.0169643
SRX697735	TFs and others	PRKCQ	Blood	CD4+ T cells	4787	1/1680	2/57	-2.50744	-0.464169	0.0169643
SRX5360649	TFs and others	KLF4	Epidermis	BJ	2973	178/1680	0/57	-2.50476	-0.464169	inf
SRX3722705	TFs and others	ESR1	Breast	Breast cancer cells	22697	176/1680	0/57	-2.50293	-0.464169	inf
SRX190208	TFs and others	ZBTB7A	Uterus	ECC-1	9562	181/1680	0/57	-2.50134	-0.464169	inf
SRX8380459	TFs and others	BRD4	Uterus	HeLa	600	70/1680	8/57	-2.4974	-0.464169	0.296875
SRX2793579	TFs and others	RB1	Breast	MCF-7	1176	27/1680	5/57	-2.48738	-0.464169	0.183214
SRX4170712	TFs and others	WDR5	Blood	K-562	1352	27/1680	5/57	-2.48738	-0.464169	0.183214
