SRX3873726	TFs and others	MYC	Lung	SW 1271	19168	98/180	781/2511	-9.24029	-5.27326	1.75045
SRX9206198	TFs and others	GFP	Digestive tract	HCT 116	13858	87/180	646/2511	-9.22217	-5.27326	1.87872
SRX1514975	TFs and others	GFP	Kidney	293	9616	57/180	331/2511	-9.06937	-5.27326	2.40227
SRX1514976	TFs and others	GFP	Kidney	293	8220	52/180	283/2511	-8.9317	-5.26053	2.56325
SRX5576989	TFs and others	CREB1	Lung	A549	19952	95/180	771/2511	-8.37373	-4.8264	1.71887
SRX4892334	TFs and others	Epitope tags	Kidney	293	27849	83/180	631/2511	-8.32148	-4.8264	1.83494
SRX3657345	TFs and others	Epitope tags	Kidney	293	27855	82/180	630/2511	-7.9024	-4.4844	1.81571
SRX150511	TFs and others	CHD2	Uterus	HeLa	16185	115/180	1054/2511	-7.85454	-4.4844	1.52206
SRX9206199	TFs and others	GFP	Digestive tract	HCT 116	13651	84/180	662/2511	-7.6677	-4.34871	1.77009
SRX190184	TFs and others	MAX	Lung	A549	29303	125/180	1209/2511	-7.52351	-4.2715	1.44231
SRX2731517	TFs and others	NCAPH2	Kidney	293	10745	46/180	260/2511	-7.50334	-4.2715	2.46808
SRX113706	TFs and others	SP1	Digestive tract	HCT 116	16733	57/180	371/2511	-7.4001	-4.24689	2.14326
SRX186618	TFs and others	MAZ	Lung	IMR-90	18778	87/180	708/2511	-7.38247	-4.24689	1.71419
SRX5576992	TFs and others	CREB1	Lung	A549	18211	94/180	795/2511	-7.37399	-4.24689	1.64943
SRX6665794	TFs and others	Epitope tags	Kidney	HK-2	7391	85/180	688/2511	-7.27328	-4.17614	1.72347
SRX6977280	TFs and others	Epitope tags	Neural	BE(2)-C	5870	62/180	429/2511	-7.16385	-4.11701	2.01608
SRX1690205	TFs and others	MYCN	Neural	BE(2)-C	20362	68/180	495/2511	-7.15979	-4.11701	1.91636
SRX5709753	TFs and others	CTCF	Breast	MCF-7	3685	47/180	278/2511	-7.10098	-4.08302	2.35845
SRX10313956	TFs and others	ZBTB7A	Blood	HUDEP-2	14385	69/180	508/2511	-7.0609	-4.06642	1.89478
SRX752907	TFs and others	CREB1	Prostate	LNCAP	16061	85/180	696/2511	-7.02481	-4.05261	1.70366
SRX734411	TFs and others	AR	Prostate	CWR22Pc	47825	78/180	616/2511	-6.8857	-3.93469	1.7664
SRX6977278	TFs and others	Epitope tags	Neural	BE(2)-C	5261	58/180	394/2511	-6.86245	-3.93222	2.05355
SRX1165097	TFs and others	CREB1	Liver	Hep G2	21871	88/180	735/2511	-6.84372	-3.93222	1.6702
SRX4065875	TFs and others	CTCF	Breast	MCF-7	32925	116/180	1108/2511	-6.80884	-3.91582	1.46047
SRX190175	TFs and others	CREB1	Lung	A549	14652	93/180	803/2511	-6.74922	-3.87393	1.61563
SRX10382441	TFs and others	BCOR	Pluripotent stem cell	hESC H1	37724	86/180	718/2511	-6.71578	-3.86869	1.67089
SRX4786545	TFs and others	TET2	Breast	MCF-7	5613	61/180	428/2511	-6.71056	-3.86869	1.9882
SRX4404392	TFs and others	MYCN	Prostate	LNCAP	11634	59/180	414/2511	-6.58274	-3.76164	1.98804
SRX1036365	TFs and others	RUNX1	Blood	Peripheral blood stem cells	17551	76/180	600/2511	-6.57248	-3.76164	1.767
SRX1212238	TFs and others	CREB1	Prostate	LNCAP	12839	82/180	673/2511	-6.54943	-3.76109	1.6997
SRX6910069	TFs and others	PGR	Uterus	Uterin leiomyoma	14368	66/180	490/2511	-6.54296	-3.76109	1.87898
SRX9550926	TFs and others	FOXA1	Prostate	Prostate cancer	41521	73/180	572/2511	-6.51638	-3.76106	1.78033
SRX1514953	TFs and others	GFP	Kidney	293	32991	76/180	606/2511	-6.51578	-3.76106	1.7495
SRX8949798	TFs and others	NEUROD1	Unclassified	Unclassified	34927	89/180	767/2511	-6.46286	-3.72111	1.61871
SRX5576990	TFs and others	CRTC2	Lung	A549	19080	84/180	704/2511	-6.38926	-3.66299	1.66449
SRX5821030	TFs and others	GATA1	Blood	CD34+	20184	69/180	531/2511	-6.37992	-3.66299	1.81271
SRX359897	TFs and others	IRF1	Digestive tract	LoVo	13592	91/180	795/2511	-6.36722	-3.66219	1.59679
SRX658611	TFs and others	MYB	Blood	Jurkat	37544	75/180	603/2511	-6.30137	-3.60792	1.73507
SRX129083	TFs and others	MAX	Blood	P493-6	16089	70/180	545/2511	-6.28726	-3.60509	1.79174
SRX3230401	TFs and others	SP1	Liver	Hep G2	12274	71/180	556/2511	-6.237	-3.56867	1.78138
SRX5600893	TFs and others	OLIG2	Neural	Prefrontal Cortex	9713	64/180	476/2511	-6.22912	-3.56867	1.87563
SRX150383	TFs and others	TBP	Pluripotent stem cell	hESC H1	14211	69/180	534/2511	-6.18896	-3.53898	1.80253
SRX4046302	TFs and others	CXXC1	Blood	Erythroblasts	9882	69/180	536/2511	-6.16604	-3.53624	1.7958
SRX4046306	TFs and others	HCFC1	Blood	Erythroblasts	10450	74/180	595/2511	-6.16602	-3.53624	1.73496
SRX3542258	TFs and others	MYCN	Neural	KELLY	16923	60/180	437/2511	-6.13049	-3.51047	1.91533
SRX10045344	TFs and others	ASXL1	Blood	THP-1	12309	67/180	516/2511	-6.09872	-3.4889	1.81134
SRX063913	TFs and others	RUNX1	Blood	SKNO-1	21649	65/180	492/2511	-6.09004	-3.4889	1.84299
SRX9932051	TFs and others	STAT5A	Breast	MCF-7	8740	72/180	576/2511	-6.06554	-3.48239	1.74375
SRX4892339	TFs and others	Epitope tags	Kidney	293	25651	65/180	494/2511	-6.06543	-3.48239	1.83553
SRX9932045	TFs and others	STAT5A	Breast	MCF-7	8210	67/180	519/2511	-6.04928	-3.47502	1.80087
SRX6066491	TFs and others	POLR2C	Digestive tract	HCT 116	17991	86/180	744/2511	-6.01327	-3.44761	1.6125
SRX6366606	TFs and others	Epitope tags	Uterus	Ishikawa	18247	82/180	698/2511	-5.99318	-3.4464	1.63883
SRX10382399	TFs and others	BCOR	Pluripotent stem cell	hESC H1	35625	83/180	706/2511	-5.99114	-3.4464	1.64001
SRX8536120	TFs and others	NFYB	Blood	HUDEP-2	7952	61/180	453/2511	-5.97519	-3.4464	1.87848
SRX129082	TFs and others	MAX	Blood	P493-6	15482	68/180	532/2511	-5.97304	-3.4464	1.78308
SRX6857970	TFs and others	PGR	Uterus	Myometrium	14608	87/180	756/2511	-5.97145	-3.4464	1.60536
SRX5075174	TFs and others	SMARCA4	Neural	Neural progenitor cells	34486	77/180	637/2511	-5.93837	-3.42101	1.68626
