SRX190361	TFs and others	SIN3A	Digestive tract	HCT 116	24165	58/89	856/993	-5.6861	-2.16449	0.755986
SRX6102130	TFs and others	SUPT5H	Uterus	HeLa	21479	57/89	847/993	-5.47727	-2.16449	0.750846
SRX7135366	TFs and others	BRD3	Blood	K-562	612	12/89	22/993	-5.24896	-2.16449	6.0858
SRX116458	TFs and others	HDAC6	Pluripotent stem cell	hESC H1	439	6/89	2/993	-5.18998	-2.16449	33.4719
SRX1397412	TFs and others	SMAD1	Blood	CD34+	2387	6/89	2/993	-5.18998	-2.16449	33.4719
SRX6961666	TFs and others	SUPT5H	Digestive tract	HCT 116	18211	50/89	777/993	-4.9527	-2.16449	0.717973
SRX097110	TFs and others	CEBPA	Blood	U-937	359	6/89	3/993	-4.74253	-2.16449	22.3146
SRX099404	TFs and others	RB1	Lung	IMR-90	898	6/89	3/993	-4.74253	-2.16449	22.3146
SRX10131668	TFs and others	MLLT1	Lung	Bronchial tracheal epithelial cells	507	6/89	3/993	-4.74253	-2.16449	22.3146
SRX10131669	TFs and others	MLLT1	Lung	Bronchial tracheal epithelial cells	563	6/89	3/993	-4.74253	-2.16449	22.3146
SRX1078842	TFs and others	AFF4	Digestive tract	HCT 116	454	6/89	3/993	-4.74253	-2.16449	22.3146
SRX116469	TFs and others	SIRT6	Pluripotent stem cell	hESC H1	423	6/89	3/993	-4.74253	-2.16449	22.3146
SRX130255	TFs and others	LMNB1	Lung	IMR-90	502	6/89	3/993	-4.74253	-2.16449	22.3146
SRX1503375	TFs and others	HNF1A	Gonad	Caput epididymis	4256	6/89	3/993	-4.74253	-2.16449	22.3146
SRX186647	TFs and others	SIRT6	Pluripotent stem cell	hESC H1	436	6/89	3/993	-4.74253	-2.16449	22.3146
SRX186648	TFs and others	SETDB1	Blood	K-562	471	6/89	3/993	-4.74253	-2.16449	22.3146
SRX2546001	TFs and others	METTL3	Blood	MOLM-13	664	6/89	3/993	-4.74253	-2.16449	22.3146
SRX2546004	TFs and others	METTL14	Blood	MOLM-13	496	6/89	3/993	-4.74253	-2.16449	22.3146
SRX2546005	TFs and others	METTL14	Blood	MOLM-13	584	6/89	3/993	-4.74253	-2.16449	22.3146
SRX3089968	TFs and others	NCOA4	Blood	Erythroblasts	323	6/89	3/993	-4.74253	-2.16449	22.3146
SRX315188	TFs and others	Biotin	Neural	SH-SY5Y	574	6/89	3/993	-4.74253	-2.16449	22.3146
SRX3372025	TFs and others	ETV1	Digestive tract	GIST48	809	6/89	3/993	-4.74253	-2.16449	22.3146
SRX3581477	TFs and others	CHD7	Pluripotent stem cell	iPS derived neural cells	652	6/89	3/993	-4.74253	-2.16449	22.3146
SRX4287636	TFs and others	EGR1	Epidermis	A-375	585	6/89	3/993	-4.74253	-2.16449	22.3146
SRX4711143	TFs and others	LMNB1	Adipocyte	Adipose stem cells	1008	6/89	3/993	-4.74253	-2.16449	22.3146
SRX4711144	TFs and others	LMNB1	Adipocyte	Adipose stem cells	1066	6/89	3/993	-4.74253	-2.16449	22.3146
SRX4711145	TFs and others	LMNB1	Adipocyte	Adipose stem cells	1351	6/89	3/993	-4.74253	-2.16449	22.3146
SRX4723359	TFs and others	GATA3	Neural	Neurons	591	6/89	3/993	-4.74253	-2.16449	22.3146
SRX4797401	TFs and others	LMNA	Cardiovascular	Myocytes, Cardiac	1352	6/89	3/993	-4.74253	-2.16449	22.3146
SRX4824359	TFs and others	AR	Prostate	22Rv1	1447	6/89	3/993	-4.74253	-2.16449	22.3146
SRX5577166	TFs and others	AR	Prostate	LNCAP	492	6/89	3/993	-4.74253	-2.16449	22.3146
SRX6430573	TFs and others	EZH2	Blood	KMS-28BM	588	6/89	3/993	-4.74253	-2.16449	22.3146
SRX760971	TFs and others	LMNA	Adipocyte	Pre-adipocytes	875	6/89	3/993	-4.74253	-2.16449	22.3146
SRX7677728	TFs and others	NELFE	Digestive tract	DLD-1	534	6/89	3/993	-4.74253	-2.16449	22.3146
