SRX2207918	TFs and others	ATF3	Epidermis	CS1AN	30101	418/822	640/993	-8.28023	-4.42061	0.788994
SRX2355072	TFs and others	JUN	Cardiovascular	HAEC	32574	227/822	161/993	-8.2704	-4.42061	1.70325
SRX5770333	TFs and others	Epitope tags	Digestive tract	HCT 116	10537	328/822	532/993	-8.20717	-4.42061	0.7448
SRX1038945	TFs and others	YAP1	Lung	IMR-90	18267	174/822	112/993	-7.99213	-4.33051	1.87676
SRX100403	TFs and others	NR3C1	Lung	A549	18421	201/822	140/993	-7.61729	-4.10752	1.73438
SRX190283	TFs and others	EP300	Lung	A549	13777	245/822	184/993	-7.59305	-4.10752	1.60852
SRX190324	TFs and others	TEAD4	Lung	A549	8552	138/822	82/993	-7.48662	-4.06803	2.03302
SRX757326	TFs and others	YAP1	Lung	H2052	49213	240/822	181/993	-7.39224	-4.06102	1.60181
SRX716555	TFs and others	YAP1	Neural	SF268	16370	229/822	170/993	-7.37046	-4.06102	1.62729
SRX2963102	TFs and others	RUNX1	Blood	PBMC	20938	331/822	527/993	-7.2603	-4.05287	0.758743
SRX10634383	TFs and others	YAP1	Epidermis	Keratinocytes	4787	109/822	58/993	-7.2559	-4.05287	2.27026
SRX10382402	TFs and others	QSER1	Pluripotent stem cell	hESC H1	34365	397/822	606/993	-7.20343	-4.05287	0.791399
SRX253229	TFs and others	SSRP1	Others	Fibrosarcoma	1524	50/822	14/993	-7.20261	-4.05287	4.31439
SRX8949798	TFs and others	NEUROD1	Unclassified	Unclassified	34927	565/822	793/993	-7.15993	-4.04237	0.860702
SRX7865932	TFs and others	BRD4	Breast	MDA-MB-231	7054	164/822	108/993	-7.1137	-4.02611	1.83441
SRX1038944	TFs and others	YAP1	Lung	IMR-90	11612	131/822	78/993	-7.06255	-4.00299	2.02887
SRX100404	TFs and others	NR3C1	Lung	A549	7997	107/822	57/993	-6.99796	-3.98854	2.2677
SRX716558	TFs and others	TEAD1	Neural	SF268	20157	140/822	86/993	-6.99695	-3.98854	1.96656
SRX2014504	TFs and others	RUNX1	Blood	Jurkat	33270	296/822	480/993	-6.91607	-3.94967	0.744951
SRX8449942	TFs and others	BAHCC1	Blood	Jurkat	25122	511/822	733/993	-6.91232	-3.94967	0.84216
SRX6366607	TFs and others	Epitope tags	Uterus	Ishikawa	16620	534/822	757/993	-6.84325	-3.92263	0.852163
SRX6366606	TFs and others	Epitope tags	Uterus	Ishikawa	18247	541/822	765/993	-6.84257	-3.92263	0.854306
SRX190204	TFs and others	FOSL2	Lung	A549	23331	267/822	213/993	-6.82458	-3.92263	1.51429
SRX2513053	TFs and others	TET2	Blood	Jurkat	25447	368/822	568/993	-6.80179	-3.91832	0.782667
SRX7692440	TFs and others	POLR2C	Digestive tract	HCT 116	15049	505/822	723/993	-6.5723	-3.72631	0.843782
SRX4892334	TFs and others	Epitope tags	Kidney	293	27849	452/822	664/993	-6.56759	-3.72631	0.822333
SRX250091	TFs and others	MYC	Breast	MDA-MB-453	26756	531/822	752/993	-6.55863	-3.72631	0.85301
SRX8449940	TFs and others	BAHCC1	Blood	Jurkat	22309	510/822	729/993	-6.52904	-3.71251	0.845123
SRX6582172	TFs and others	JUN	Others	Fibroblasts	26505	243/822	191/993	-6.4654	-3.67847	1.53692
SRX3657345	TFs and others	Epitope tags	Kidney	293	27855	453/822	664/993	-6.45781	-3.67847	0.824152
SRX7277180	TFs and others	JUN	Others	GM07492	17042	182/822	129/993	-6.45079	-3.67847	1.70435
SRX757325	TFs and others	YAP1	Lung	H2052	56147	286/822	237/993	-6.37913	-3.62838	1.45779
SRX2671813	TFs and others	EP300	Others	Fibroblasts	21390	170/822	118/993	-6.37355	-3.62838	1.74038
SRX612504	TFs and others	BRD4	Liver	LX2	7165	161/822	110/993	-6.34513	-3.61293	1.76812
SRX3367142	TFs and others	TEAD4	Epidermis	SK-MEL-147	13902	198/822	147/993	-6.24041	-3.53346	1.62714
SRX9206199	TFs and others	GFP	Digestive tract	HCT 116	13651	495/822	709/993	-6.23025	-3.53346	0.843405
SRX7692441	TFs and others	POLR2C	Digestive tract	HCT 116	15724	525/822	742/993	-6.21611	-3.53346	0.854738
SRX190314	TFs and others	TEAD4	Neural	SK-N-SH	13928	194/822	143/993	-6.21455	-3.53346	1.63886
SRX3468047	TFs and others	SS18	Others	Fibroblasts	47348	342/822	301/993	-6.20608	-3.53346	1.37258
SRX204164	TFs and others	SUMO2	Lung	WI-38	1833	71/822	32/993	-6.14545	-3.48383	2.68031
SRX1514973	TFs and others	GFP	Kidney	293	19348	514/822	729/993	-6.08688	-3.44395	0.851752
SRX6473439	TFs and others	Epitope tags	Pluripotent stem cell	hESC derived neural crests	36458	478/822	689/993	-6.08105	-3.44395	0.838081
SRX2671792	TFs and others	EP300	Cardiovascular	Cardiac progenitor cells	17545	151/822	102/993	-6.07416	-3.44395	1.78836
SRX253228	TFs and others	SSRP1	Others	Fibrosarcoma	1593	56/822	21/993	-6.03931	-3.41908	3.22141
SRX1293531	TFs and others	KMT2A	Blood	MV-4-11	26361	508/822	722/993	-6.02242	-3.41195	0.849971
SRX3852892	TFs and others	NELFE	Blood	K-562	11730	458/822	664/993	-5.91985	-3.31892	0.833249
SRX10119387	TFs and others	YAP1	Breast	MDA-MB-231	16483	208/822	160/993	-5.84427	-3.26053	1.57044
SRX7196715	TFs and others	BMI1	Neural	SU-DIPG-IV	22502	213/822	362/993	-5.83706	-3.26053	0.710802
SRX7807114	TFs and others	TEAD1	Unclassified	Unclassified	14882	144/822	97/993	-5.83402	-3.26053	1.79336
