SRX6977278	TFs and others	Epitope tags	Neural	BE(2)-C	5261	40/44	88/178	-6.82139	-2.55674	1.83884
SRX995500	TFs and others	CTCF	Blood	Erythroid Cells	10820	22/44	25/178	-5.8894	-2.24727	3.56
SRX6058758	TFs and others	CEBPA	Breast	T-47D	2017	8/44	0/178	-5.86136	-2.24727	inf
SRX063922	TFs and others	ERG	Blood	K-562	20765	36/44	75/178	-5.53156	-2.24727	1.94182
SRX150352	TFs and others	MAZ	Uterus	HeLa	10531	37/44	81/178	-5.51237	-2.24727	1.84792
SRX9600623	TFs and others	G-quadruplex	Blood	K-562	436	11/44	4/178	-5.34969	-2.24727	11.125
SRX9600661	TFs and others	G-quadruplex	Blood	K-562	434	10/44	3/178	-5.16936	-2.24727	13.4848
SRX1995013	TFs and others	HIF1A	Bone	U2OS	337	7/44	0/178	-5.09712	-2.24727	inf
SRX2458133	TFs and others	NIPBL	Blood	GM12878	2341	7/44	0/178	-5.09712	-2.24727	inf
SRX2458134	TFs and others	NIPBL	Blood	GM12878	1470	7/44	0/178	-5.09712	-2.24727	inf
SRX9600652	TFs and others	G-quadruplex	Blood	K-562	265	7/44	0/178	-5.09712	-2.24727	inf
SRX667410	TFs and others	Epitope tags	Breast	MCF-7	6458	22/44	28/178	-5.07797	-2.24727	3.17857
SRX150415	TFs and others	MAZ	Liver	Hep G2	6772	30/44	55/178	-5.02566	-2.24727	2.20661
SRX9600613	TFs and others	G-quadruplex	Blood	K-562	317	8/44	1/178	-4.97746	-2.24727	32.3636
SRX150363	TFs and others	MAZ	Blood	GM12878	13206	38/44	91/178	-4.87062	-2.24727	1.68931
SRX9600660	TFs and others	G-quadruplex	Blood	K-562	424	12/44	7/178	-4.78399	-2.24727	6.93506
SRX9600616	TFs and others	G-quadruplex	Blood	K-562	368	10/44	4/178	-4.69436	-2.24727	10.1136
SRX5527609	TFs and others	EP300	Cardiovascular	HAEC	19398	17/44	18/178	-4.64967	-2.24727	3.82071
SRX667409	TFs and others	Epitope tags	Breast	MCF-7	6651	18/44	21/178	-4.54227	-2.24727	3.46753
SRX667405	TFs and others	Epitope tags	Breast	MCF-7	789	12/44	8/178	-4.45357	-2.24727	6.06818
SRX1515063	TFs and others	GFP	Kidney	293	2221	14/44	12/178	-4.45188	-2.24727	4.7197
DRX227594	TFs and others	LDB2	Pluripotent stem cell	iPS derived neural cells	2553	8/44	2/178	-4.34898	-2.24727	16.1818
SRX150644	TFs and others	RFX5	Blood	K-562	1512	8/44	2/178	-4.34898	-2.24727	16.1818
SRX573042	TFs and others	ELL2	Uterus	HeLa	1028	8/44	2/178	-4.34898	-2.24727	16.1818
SRX022433	TFs and others	PHF8	Uterus	HeLa	2110	6/44	0/178	-4.34245	-2.24727	inf
SRX100402	TFs and others	NR3C1	Lung	A549	1528	6/44	0/178	-4.34245	-2.24727	inf
SRX1569429	TFs and others	BRD4	Digestive tract	HCT 116	608	6/44	0/178	-4.34245	-2.24727	inf
SRX1885171	TFs and others	RELA	Prostate	LNCAP	2772	6/44	0/178	-4.34245	-2.24727	inf
SRX1925740	TFs and others	TRIM28	Pluripotent stem cell	iPS derived neural cells	1765	6/44	0/178	-4.34245	-2.24727	inf
SRX1995012	TFs and others	HIF1A	Bone	U2OS	498	6/44	0/178	-4.34245	-2.24727	inf
SRX3001604	TFs and others	FOXA1	Unclassified	Unclassified	282	6/44	0/178	-4.34245	-2.24727	inf
