SRX7805367	TFs and others	ZFY	Prostate	22Rv1	4941	143/361	82/312	-3.51726	0	1.5072
SRX3372012	TFs and others	FOXF1	Digestive tract	GIST48	5052	3/361	17/312	-3.37746	0	0.152518
SRX4931237	TFs and others	KMT2A	Kidney	293	3242	80/361	38/312	-3.12046	0	1.81951
SRX7805369	TFs and others	ZNF711	Prostate	22Rv1	3620	99/361	53/312	-2.91151	0	1.61438
SRX4741788	TFs and others	HIF1A	Cardiovascular	EA.hy926	2702	21/361	4/312	-2.75042	0	4.5374
SRX2837389	TFs and others	NFKB2	Blood	GM12878	850	0/361	8/312	-2.69204	0	0
SRX753138	TFs and others	GTF2I	Pluripotent stem cell	iPS cells	713	0/361	8/312	-2.69204	0	0
SRX5323874	TFs and others	ESR1	Breast	MCF-7	14730	62/361	28/312	-2.68523	0	1.91373
SRX092315	TFs and others	GATA3	Blood	Th2 Cells	5921	13/361	30/312	-2.63627	0	0.374515
SRX3091913	TFs and others	ZFX	Digestive tract	HCT 116	5185	111/361	64/312	-2.5646	0	1.49896
SRX5089456	TFs and others	ESR1	Breast	MCF-7	9009	57/361	26/312	-2.48167	0	1.89474
SRX2871349	TFs and others	FOXA1	Breast	T-47D	14064	29/361	48/312	-2.46697	0	0.522161
SRX3888135	TFs and others	SALL4	Liver	SNU-398	1219	4/361	15/312	-2.35177	0	0.230471
SRX8536091	TFs and others	JUND	Blood	CD34+	1385	4/361	15/312	-2.35177	0	0.230471
SRX2734392	TFs and others	NFE2L2	Cardiovascular	HAEC	17737	61/361	81/312	-2.34917	0	0.650867
SRX5514007	TFs and others	FOS	Uterus	Myometrium	3954	22/361	39/312	-2.34426	0	0.487535
SRX790968	TFs and others	RELB	Blood	L-1236	2087	2/361	12/312	-2.33094	0	0.144044
SRX8083045	TFs and others	DMC1	Gonad	Testis	6458	3/361	13/312	-2.30264	0	0.199446
SRX831875	TFs and others	STAT5B	Blood	CD8+ T cells	1528	3/361	13/312	-2.30264	0	0.199446
SRX2871346	TFs and others	FOXA1	Breast	T-47D	13521	26/361	44/312	-2.29717	0	0.510703
SRX1067067	TFs and others	AR	Prostate	LHSAR	94683	103/361	121/312	-2.27441	0	0.735697
SRX3110722	TFs and others	ESR1	Breast	MCF-7	8388	54/361	25/312	-2.24924	0	1.86681
SRX5574514	TFs and others	SPI1	Liver	Hep G2	34933	164/361	109/312	-2.22661	0	1.30036
SRX5323876	TFs and others	ESR1	Breast	MCF-7	13946	51/361	23/312	-2.2013	0	1.91642
SRX5089462	TFs and others	ESR1	Breast	MCF-7	13687	72/361	38/312	-2.17734	0	1.63756
SRX5574362	TFs and others	SPI1	Blood	Dendritic Cells	36205	123/361	76/312	-2.17491	0	1.39875
SRX4345356	TFs and others	NFATC2	Blood	CD4+ T cells	2460	5/361	16/312	-2.17457	0	0.270083
SRX497610	TFs and others	FOXA1	Prostate	VCaP	58293	81/361	99/312	-2.16191	0	0.707127
SRX6860690	TFs and others	FOXA1	Breast	T-47D	19803	42/361	60/312	-2.15662	0	0.604986
SRX7902979	TFs and others	EGR1	Blood	Macrophages	458	1/361	9/312	-2.13463	0	0.0960295
SRX3436563	TFs and others	SSRP1	Bone	HT-1080	6314	20/361	36/312	-2.13298	0	0.480148
SRX10119139	TFs and others	RUNX1	Blood	MV-4-11	3040	11/361	1/312	-2.12839	0	9.50693
SRX2578883	TFs and others	MED1	Breast	MDA-MB-231	703	11/361	1/312	-2.12839	0	9.50693
SRX5323872	TFs and others	ESR1	Breast	MCF-7	22865	82/361	45/312	-2.12509	0	1.57488
SRX4672370	TFs and others	ARNT	Lung	A549	1925	36/361	14/312	-2.11705	0	2.2224
SRX4115994	TFs and others	FOXA1	Breast	MCF-7	5520	4/361	14/312	-2.10825	0	0.246933
SRX5289980	TFs and others	NR3C1	Lung	BEAS-2B	5411	4/361	14/312	-2.10825	0	0.246933
SRX1658068	TFs and others	BRD4	Lung	IMR-90	9067	55/361	73/312	-2.10585	0	0.651159
ERX1234993	TFs and others	TAF3	Liver	Hep G2	3716	83/361	46/312	-2.1029	0	1.55944
SRX7493850	TFs and others	DLX5	Others	CAL 27	2402	18/361	33/312	-2.09118	0	0.471418
SRX5567178	TFs and others	RNF2	Blood	ME-1	8141	109/361	66/312	-2.08493	0	1.42735
SRX3638908	TFs and others	RELA	Bone	U2OS	1429	2/361	11/312	-2.06521	0	0.157139
SRX4393712	TFs and others	RUNX1	Blood	ME-1	6326	50/361	23/312	-2.05987	0	1.87884
SRX5567180	TFs and others	RUNX1	Blood	ME-1	6326	50/361	23/312	-2.05987	0	1.87884
SRX3160997	TFs and others	BCL11A	Blood	HUDEP-2	2429	24/361	7/312	-2.05432	0	2.9632
SRX150657	TFs and others	RCOR1	Uterus	HeLa	11556	59/361	77/312	-2.03626	0	0.66223
SRX4047133	TFs and others	PHF8	Digestive tract	RKO	2702	73/361	39/312	-2.03312	0	1.61773
SRX2961790	TFs and others	TRIM24	Blood	MOLM-13	6569	61/361	31/312	-2.01948	0	1.70065
SRX027903	TFs and others	NR3C1	Uterus	HeLa	1880	0/361	6/312	-2.01446	0	0
SRX5323877	TFs and others	ESR1	Breast	MCF-7	19680	68/361	36/312	-1.99376	0	1.6325
SRX5199669	TFs and others	EP300	Prostate	LNCAP	1653	21/361	6/312	-1.98423	0	3.02493
