SRX424010	TFs and others	KDM4C	Digestive tract	KYSE-150	10469	226/421	405/538	-11.4842	-7.35499	0.713105
SRX6913057	TFs and others	BRD2	Blood	THP-1	12236	225/421	390/538	-8.87016	-5.05446	0.737256
SRX6102128	TFs and others	SUPT5H	Uterus	HeLa	17900	313/421	480/538	-8.70655	-5.05446	0.833304
SRX2281247	TFs and others	KMT2A	Blood	SEM	12471	232/421	396/538	-8.47002	-4.94287	0.748674
SRX286201	TFs and others	ING2	Digestive tract	RKO	15001	225/421	386/538	-8.26112	-4.83088	0.744896
DRX300415	TFs and others	JADE3	Kidney	293	11306	232/421	393/538	-8.06173	-4.71067	0.754389
SRX5757568	TFs and others	SMAD3	Breast	WHIM12	13355	295/421	459/538	-7.85454	-4.57043	0.821315
SRX1424886	TFs and others	CXXC1	Blood	SEM	13146	265/421	428/538	-7.73645	-4.54726	0.791229
SRX2281252	TFs and others	KMT2A	Blood	SEM	7460	155/421	297/538	-7.72222	-4.54726	0.666923
SRX6913055	TFs and others	BRD2	Blood	THP-1	10062	210/421	365/538	-7.65368	-4.52447	0.735236
SRX6913056	TFs and others	BRD2	Blood	THP-1	11784	227/421	384/538	-7.56719	-4.48614	0.755431
SRX6913054	TFs and others	BRD2	Blood	THP-1	14238	241/421	400/538	-7.53617	-4.48614	0.769941
SRX1873447	TFs and others	KDM2B	Blood	SEM	23294	326/421	486/538	-7.34728	-4.35801	0.857199
SRX9730736	TFs and others	CPSF3L	Blood	THP-1	14757	240/421	398/538	-7.34109	-4.35801	0.770599
SRX7719081	TFs and others	SMAD3	Others	H69	11378	231/421	387/538	-7.29887	-4.34884	0.762783
SRX8053100	TFs and others	KDM5A	Blood	MM.1S	9929	207/421	359/538	-7.27393	-4.34884	0.736845
SRX2897220	TFs and others	ESR1	Breast	Breast cancer cells	14930	248/421	406/538	-7.17912	-4.28036	0.780595
SRX682375	TFs and others	ERG	Blood	TSU-1621MT	20208	275/421	435/538	-7.11007	-4.23614	0.807874
SRX1799531	TFs and others	TRIM28	Blood	CD4+ T cells	19462	215/421	367/538	-7.04194	-4.21196	0.748639
SRX4377543	TFs and others	BRD2	Breast	SUM 159PT	19056	308/421	468/538	-7.04014	-4.21196	0.841018
SRX5757564	TFs and others	SMAD3	Breast	SUM 159PT	15952	302/421	461/538	-6.88031	-4.08405	0.837156
SRX1058475	TFs and others	MAX	Epidermis	MKL-1	43170	316/421	475/538	-6.86702	-4.08405	0.850146
SRX2166889	TFs and others	BRD4	Neural	Retina	11208	199/421	346/538	-6.85153	-4.08405	0.734983
SRX10338563	TFs and others	MYC	Blood	NALM-6	20908	248/421	403/538	-6.78998	-4.06683	0.786406
SRX2537515	TFs and others	BRD2	Epidermis	SK-MEL-147	31443	325/421	483/538	-6.78589	-4.06683	0.859877
